Timestamp,Age,Gender,Please select 6 outfit that you prefer the most! (Female),Please select 6 outfit that you prefer the most! (Male)
2022/07/04 9:44:06 am GMT+8,25 - 54,Female,Artsy Style;Bohemian Style;Ethnic Style;Grunge Style;Vintage Style;Y2k Style,
2022/07/04 9:44:44 am GMT+8,25 - 54,Female,Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Streetwear Style;Vacation Style,
2022/07/04 9:45:40 am GMT+8,25 - 54,Female,Casual Style;Comfy Style;Girl Next Door Style;Sporty Style;Streetwear Style;Vacation Style,
2022/07/04 9:46:10 am GMT+8,25 - 54,Female,Chic Style;Classy Style;Evening Style;Formal Office Style;Girl Next Door Style;Sexy Style,
2022/07/04 9:46:59 am GMT+8,25 - 54,Female,Chic Style;Classy Style;Evening Style;Formal Office Style;Girl Next Door Style;Sporty Style,
2022/07/04 9:47:20 am GMT+8,25 - 54,Female,Chic Style;Classy Style;Formal Office Style;Sexy Style;Sporty Style;Vacation Style,
2022/07/04 9:47:51 am GMT+8,65 and above,Female,Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Sporty Style;Vacation Style,
2022/07/04 9:48:27 am GMT+8,25 - 54,Female,Artsy Style;Bohemian Style;Ethnic Style;Evening Style;Grunge Style;Lolita Style,
2022/07/04 9:49:31 am GMT+8,25 - 54,Female,Chic Style;Classy Style;Ethnic Style;Evening Style;Formal Office Style;Vintage Style,
2022/07/04 9:49:58 am GMT+8,25 - 54,Female,Casual Style;Chic Style;Classy Style;Formal Office Style;Sexy Style;Sporty Style,
2022/07/04 9:50:28 am GMT+8,25 - 54,Female,Casual Style;Comfy Style;Girl Next Door Style;Indie Style;Sporty Style;Vacation Style,
2022/07/04 9:50:55 am GMT+8,25 - 54,Female,Artsy Style;Biker Style;Bohemian Style;Grunge Style;Indie Style;Punk Style,
2022/07/04 9:51:37 am GMT+8,25 - 54,Female,Biker Style;Casual Style;Hip Hop Style;Punk Style;Sporty Style;Streetwear Style,
2022/07/04 9:52:17 am GMT+8,25 - 54,Female,Casual Style;Girl Next Door Style;Indie Style;Kpop Style;Vacation Style;Y2k Style,
