Gender,Please choose 6  courses that you will choose /  interest you / have chosen,Business & Financial Technology (SIT),Information Technology (SIT),Infocomm & Security (SIT),Cybersecurity  & Digital Forensics (SIT),Business Intelligence & Analytics (SIT),Common ICT Programme (SIT),Experiential Product & Interior Design (SDM),Animation & Visual Effects (SDM),Architecture  (SDM),Interaction Design (SDM),Digital Game Art & Design (SDM),Visual Communication (SDM),Motion Graphics Design (SDM),Game Development & Technology (SDM),Applied Chemistry (SAS),Biologics & Process Technology (SAS),Chemical & Pharmaceutical Technology (SAS),Food Science & Nutrition (SAS),Pharmaceutical Science (SAS),Accountancy & Finance (SBM),Banking & Finance (SBM),Business Management (SBM),Food & Beverage Business (SBM),Hospitality & Tourism Management (SBM),Mass Media Management (SBM),Sport & Wellness Management (SBM),Common Business Programme (SBM),Advanced & Digital Manufacturing (SEG),Aeronautical & Aerospace Technology (SEG),Aerospace Systems & Management (SEG),AI & Data Engineering (SEG),Biomedical Engineering (SEG),Electronic & Computer Engineering (SEG),Engineering with Business (SEG),Infocomm & Media Engineering (SEG),Nanotechnology & Materials Science (SEG),Robotics & Mechatronics (SEG),Common Engineering Programme (SEG),Nursing (SHSS),Oral Health Therapy (SHSS),Social Work (SHSS),sum
Male,"Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), AI & Data Engineering (SEG), Oral Health Therapy (SHSS)",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6
Female,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Business Intelligence & Analytics (SIT), Common ICT Programme (SIT)",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Business Intelligence & Analytics (SIT), Architecture  (SDM), Food Science & Nutrition (SAS), Mass Media Management (SBM), Social Work (SHSS)",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Female,"Business & Financial Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), Food Science & Nutrition (SAS), Sport & Wellness Management (SBM)",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Animation & Visual Effects (SDM), Interaction Design (SDM), Visual Communication (SDM), Motion Graphics Design (SDM), Food Science & Nutrition (SAS), Mass Media Management (SBM)",0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Cybersecurity  & Digital Forensics (SIT), Banking & Finance (SBM), Business Management (SBM), Hospitality & Tourism Management (SBM), Aeronautical & Aerospace Technology (SEG)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Information Technology (SIT), Common ICT Programme (SIT), Interaction Design (SDM), Visual Communication (SDM), Mass Media Management (SBM), Nursing (SHSS)",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Common ICT Programme (SIT), Chemical & Pharmaceutical Technology (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Common Business Programme (SBM)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Business & Financial Technology (SIT), Information Technology (SIT), Business Intelligence & Analytics (SIT), Common ICT Programme (SIT), Business Management (SBM), Common Business Programme (SBM)",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), Game Development & Technology (SDM), Common Business Programme (SBM), AI & Data Engineering (SEG)",0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Business Intelligence & Analytics (SIT), Applied Chemistry (SAS), Chemical & Pharmaceutical Technology (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Food & Beverage Business (SBM), Mass Media Management (SBM), Sport & Wellness Management (SBM), Social Work (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Female,"Information Technology (SIT), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Pharmaceutical Science (SAS), AI & Data Engineering (SEG), Nursing (SHSS)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
